Graph ID,Tree decomposition ID,run time,units,Tree Width,Decomposition Overhead Ratio,Average Depth,Join Percentage,Forget Percentage,Introduce Percentage,Leaf Percentage,Sum of Join node distances,Branching Factor,Bag Adjacency Factor,Bag Connectedness Factor,Bag Neighborhood Coverage Factor,predict units
1,1,139,2862,2.0,1.7,4.625,0.0625,0.125,0.125,0.375,0.0,1.6,0.833333,0.125,3.010417,2641.7259197235107
1,2,130,2705,2.0,1.7,5.125,0.0625,0.125,0.0625,0.375,0.0,1.6,0.833333,0.125,3.010417,2605.7124004364014
1,3,132,2732,2.0,1.7,4.125,0.25,0.125,0.0625,0.4375,30.0,1.777778,0.833333,0.125,3.03125,2691.8216381073
1,4,122,2523,2.0,1.7,6.375,0.125,0.125,0.0625,0.3125,8.0,1.454545,0.833333,0.125,3.03125,2377.7665100097656
1,5,126,2722,2.0,1.7,4.75,0.1875,0.0625,0.0625,0.4375,20.0,1.777778,0.833333,0.125,3.010417,2698.636655807495
1,6,123,2803,2.0,1.7,4.0,0.125,0.125,0.0625,0.375,6.0,1.6,0.833333,0.125,3.010417,2649.9499320983887
1,7,123,2473,2.0,1.7,5.0,0.0625,0.1875,0.1875,0.25,0.0,1.333333,0.833333,0.125,3.03125,2423.9308433532715
1,8,168,2575,2.0,1.7,4.25,0.1875,0.0625,0.125,0.375,16.0,1.6,0.833333,0.125,3.03125,2630.3584957122803
1,9,123,2709,2.0,1.7,4.375,0.125,0.0625,0.1875,0.3125,6.0,1.454545,0.833333,0.125,3.03125,2546.2552795410156
1,10,121,2707,2.0,1.7,4.5625,0.25,0.125,0.0,0.4375,44.0,1.777778,0.833333,0.125,3.010417,2663.5794715881348
1,11,122,2782,2.0,1.7,3.5,0.125,0.0,0.125,0.4375,6.0,1.777778,0.833333,0.125,3.010417,2734.7269039154053
1,12,135,2703,2.0,1.7,5.0,0.125,0.125,0.0,0.4375,10.0,1.777778,0.833333,0.125,3.010417,2689.882053375244
1,13,125,2740,2.0,1.7,4.625,0.0,0.125,0.125,0.3125,0.0,1.454545,0.833333,0.125,3.010417,2546.6774730682373
1,14,120,2391,2.0,1.7,4.875,0.1875,0.1875,0.0,0.375,20.0,1.6,0.833333,0.125,3.03125,2611.6628818511963
1,15,123,2442,2.0,1.7,4.0,0.125,0.125,0.125,0.3125,2.0,1.454545,0.833333,0.125,3.010417,2555.463409423828
1,16,123,2424,2.0,1.7,6.0,0.1875,0.125,0.125,0.375,24.0,1.6,0.833333,0.125,3.010417,2525.884901046753
1,17,134,2593,2.0,1.7,5.0,0.125,0.125,0.25,0.3125,10.0,1.454545,0.833333,0.125,3.03125,2520.2012939453125
1,18,128,2686,2.0,1.7,5.0,0.125,0.125,0.125,0.3125,4.0,1.454545,0.833333,0.125,3.010417,2524.410800933838
1,19,124,2681,2.0,1.7,3.875,0.25,0.0625,0.125,0.4375,30.0,1.777778,0.833333,0.125,3.010417,2681.7806663513184
1,20,122,2456,2.0,1.7,4.75,0.1875,0.125,0.0625,0.375,24.0,1.6,0.833333,0.125,3.03125,2610.209892272949
1,21,128,2865,2.0,1.7,5.25,0.0625,0.125,0.125,0.375,0.0,1.6,0.833333,0.125,3.010417,2594.034399032593
1,22,125,2445,2.0,1.7,4.625,0.1875,0.0625,0.125,0.375,24.0,1.6,0.833333,0.125,3.03125,2612.524726867676
1,23,125,2806,2.0,1.7,6.125,0.125,0.125,0.125,0.3125,8.0,1.454545,0.833333,0.125,3.010417,2418.0460815429688
1,24,184,2455,2.0,1.7,5.6875,0.125,0.1875,0.0,0.4375,8.0,1.777778,0.833333,0.125,3.03125,2613.8649406433105
1,25,133,2894,2.0,1.7,5.0,0.1875,0.125,0.0625,0.4375,20.0,1.777778,0.833333,0.125,3.010417,2685.3036785125732
1,26,128,2806,2.0,1.7,4.375,0.1875,0.125,0.125,0.375,20.0,1.6,0.833333,0.125,3.010417,2620.8835163116455
1,27,133,2916,2.0,1.7,4.25,0.0625,0.0625,0.125,0.375,0.0,1.6,0.833333,0.125,3.03125,2658.6074562072754
1,28,126,2711,2.0,1.7,3.625,0.0625,0.0625,0.125,0.375,0.0,1.6,0.833333,0.125,3.03125,2665.249034881592
1,29,121,2758,2.0,1.7,3.75,0.0,0.0625,0.125,0.375,0.0,1.6,0.833333,0.125,3.03125,2666.1017990112305
1,30,123,2788,2.0,1.7,3.625,0.3125,0.0,0.0,0.5,56.0,2.0,0.833333,0.125,3.010417,2683.3633518218994
1,31,126,2804,2.0,1.7,5.125,0.125,0.125,0.0625,0.3125,12.0,1.454545,0.833333,0.125,3.010417,2513.3263454437256
1,32,122,2643,2.0,1.7,4.5,0.25,0.0625,0.0,0.4375,38.0,1.777778,0.833333,0.125,3.03125,2676.918077468872
1,33,117,2318,2.0,1.7,6.875,0.0,0.125,0.125,0.3125,0.0,1.454545,0.833333,0.125,3.03125,2269.9538078308105
1,34,126,2712,2.0,1.7,4.125,0.1875,0.125,0.0625,0.375,24.0,1.6,0.833333,0.125,3.010417,2607.561155319214
